Time [s],TX,RX
0.000000000,1,1
3.001014480,1,0
3.001023160,1,1
3.001031840,1,0
3.001049200,1,1
3.001057880,1,0
3.001075240,1,1
3.001083920,1,0
3.001092600,1,1
3.001101280,1,0
3.001118640,1,1
3.001144720,1,0
3.001162040,1,1
3.001170760,1,0
3.001179440,1,1
3.001188120,1,0
3.001205480,1,1
3.001222840,1,0
3.001248880,1,1
3.001257560,1,0
3.001266240,1,1
3.001274920,1,0
3.001283600,1,1
3.001318360,1,0
3.001335680,1,1
3.001344400,1,0
3.001353080,1,1
3.001361760,1,0
3.001379120,1,1
3.001387800,1,0
3.001396480,1,1
3.001422520,1,0
3.001439880,1,1
3.001448560,1,0
3.001500640,1,1
3.001509360,1,0
3.001526720,1,1
3.001535400,1,0
3.001587480,1,1
3.001596160,1,0
3.001613520,1,1
3.001622240,1,0
3.001674280,1,1
3.001683000,1,0
3.001700360,1,1
3.001709040,1,0
3.001761120,1,1
3.001769840,1,0
3.001787160,1,1
3.001795880,1,0
3.001804560,1,1
3.001813200,1,0
3.001856640,1,1
3.001865320,1,0
3.001874000,1,1
3.001882680,1,0
3.001891360,1,1
3.001900040,1,0
3.001908720,1,1
3.001917400,1,0
3.001926080,1,1
3.001934760,1,0
3.001943440,1,1
3.001952120,1,0
3.001960800,1,1
3.001969520,1,0
3.001995560,1,1
3.002004240,1,0
3.002012920,1,1
3.002021600,1,0
3.002030280,1,1
3.002038960,1,0
3.002047640,1,1
3.002056320,1,0
3.002065000,1,1
3.002099720,1,0
3.002117120,1,1
3.002125760,1,0
3.002134440,1,1
3.002143160,1,0
3.002151840,1,1
3.002169200,1,0
3.002186560,1,1
3.002195240,1,0
3.002203920,1,1
3.002212600,1,0
3.002221280,1,1
3.002229960,1,0
3.002256000,1,1
3.002264680,1,0
3.002273360,1,1
3.002282080,1,0
3.002290760,1,1
3.002299400,1,0
3.002308080,1,1
3.002316800,1,0
3.002325480,1,1
3.002334160,1,0
3.002377560,1,1
3.002386240,1,0
3.002394920,1,1
